"subID","interviewyear","household_number_in_house","unrelated_subset","interview_age","sex","LQ","handnessfactor","race_ethnicity","nih_fluidcogcomp_unadjusted","nih_fluidcogcomp_ageadjusted","nih_crycogcomp_unadjusted","nih_crycogcomp_ageadjusted","nih_cogfuncogcomp_unadj","nih_cogfuncogcomp_ageadj","nih_eccogcomp_unadjusted","nih_eccogcomp_ageadjusted","nih_totalcogcomp_unadjusted","nih_totalcogcomp_ageadjusted","site","mean_fd","age","interview_date","annual_fam_inc","povertyline","income.adj","ICV"
"HCD2256651",2017,"5","TRUE",183,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.5343865971,15.25,"2017/10/1",2800000,28780,97.2897845726199,1507185.56
"HCD2264549",2018,"4","TRUE",112,"F",100,1,"Hispanic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCLA",0.9300634104,9.33333333333333,"2018/7/1",37000,25100,1.47410358565737,1465146.7
"HCD2286155",2017,"3","TRUE",184,"F",100,1,"Black",87,69,98,105,NA,NA,91,79,91,85,"UCLA",0.6638664869,15.3333333333333,"2017/10/1",21120,20420,1.03428011753183,1370863.93
"HCD2300426",2017,"4","TRUE",140,"F",0,3,"Other",109,116,98,127,NA,NA,105,117,104,125,"Harvard",0.8672637381,11.6666666666667,"2017/7/1",106000,24600,4.30894308943089,1610481.06
"HCD2301428",2018,"6","TRUE",164,"F",100,1,"Other",115,119,96,109,NA,NA,108,112,106,117,"UCLA",0.6120160229,13.6666666666667,"2018/7/1",79000,33740,2.34143449911085,1468651.31
"HCD2302430",2017,"4","TRUE",119,"F",100,1,"White",92,98,81,97,NA,NA,84,89,83,97,"WashU",0.7709133841,9.91666666666667,"2017/4/1",90000,24600,3.65853658536585,1461941.21
"HCD2304737",2017,"3","TRUE",160,"F",100,1,"White",117,132,107,132,NA,NA,110,129,113,138,"WashU",0.642629436,13.3333333333333,"2017/7/1",108000,20420,5.28893241919687,1787132.56
"HCD2310328",2019,"4","TRUE",250,"F",80,1,"Hispanic",999,124,NA,108,NA,NA,NA,126,NA,118,"WashU",0.4795781433,20.8333333333333,"2019/1/1",50000,25750,1.94174757281553,1499880.28
"HCD2311633",2017,"5","TRUE",147,"F",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",0.6967570399,12.25,"2017/7/1",110000,28780,3.82209867963864,1631976.8
"HCD2322335",2017,"4","TRUE",119,"M",100,1,"White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UMinn",1.0460226505,9.91666666666667,"2017/7/1",185000,24600,7.52032520325203,1794125.46
