"label_17network","index","label","network_label","label_7network","index_17network","network_label_17network","averagerank.wholebrain","finalrank.wholebrain","averagerank.hemisphere","finalrank.hemisphere","dataorder","finalrank.wholebrainrank"
"17Networks_RH_DorsAttnA_SPL_2",275,"RH_DorsAttn_Post_5","DorsAttn","7Networks_RH_DorsAttn_Post_5",266,"DorsAttnA",154.8,116,77.6,56,132,116
"17Networks_RH_DorsAttnB_PostC_2",276,"RH_DorsAttn_Post_6","DorsAttn","7Networks_RH_DorsAttn_Post_6",275,"DorsAttnB",201.6,194,100,91,150,194
"17Networks_RH_DorsAttnA_SPL_3",277,"RH_DorsAttn_Post_7","DorsAttn","7Networks_RH_DorsAttn_Post_7",267,"DorsAttnA",147.4,101,74.2,52,134,101
"17Networks_RH_DorsAttnB_PostC_3",278,"RH_DorsAttn_Post_8","DorsAttn","7Networks_RH_DorsAttn_Post_8",276,"DorsAttnB",182.1,163,91.1,80,152,163
"17Networks_RH_DorsAttnB_PostC_4",279,"RH_DorsAttn_Post_9","DorsAttn","7Networks_RH_DorsAttn_Post_9",277,"DorsAttnB",170.3,142,85.5,71,154,142
"17Networks_RH_DorsAttnA_SPL_4",280,"RH_DorsAttn_Post_10","DorsAttn","7Networks_RH_DorsAttn_Post_10",268,"DorsAttnA",187.1,174,94.5,85,136,174
"17Networks_RH_ContA_IPS_4",281,"RH_DorsAttn_Post_11","DorsAttn","7Networks_RH_DorsAttn_Post_11",328,"ContA",200.6,191,100.6,95,256,191
"17Networks_RH_DorsAttnA_SPL_5",282,"RH_DorsAttn_Post_12","DorsAttn","7Networks_RH_DorsAttn_Post_12",269,"DorsAttnA",144.9,95,73.3,48.5,138,95
"17Networks_RH_DorsAttnB_PostC_5",283,"RH_DorsAttn_Post_13","DorsAttn","7Networks_RH_DorsAttn_Post_13",278,"DorsAttnB",158,122,79.4,62,156,122
"17Networks_RH_DorsAttnA_SPL_6",284,"RH_DorsAttn_Post_14","DorsAttn","7Networks_RH_DorsAttn_Post_14",270,"DorsAttnA",182.8,165,91.4,81,140,165
"17Networks_RH_ContC_pCun_5",285,"RH_DorsAttn_Post_15","DorsAttn","7Networks_RH_DorsAttn_Post_15",355,"ContC",186.7,173,94.7,86,310,173
"17Networks_RH_DorsAttnA_SPL_7",286,"RH_DorsAttn_Post_16","DorsAttn","7Networks_RH_DorsAttn_Post_16",271,"DorsAttnA",147.7,102,74.9,53,142,102
"17Networks_RH_DorsAttnB_PostC_6",287,"RH_DorsAttn_Post_17","DorsAttn","7Networks_RH_DorsAttn_Post_17",279,"DorsAttnB",184.9,169,92.3,83,158,169
"17Networks_RH_DorsAttnA_SPL_8",288,"RH_DorsAttn_Post_18","DorsAttn","7Networks_RH_DorsAttn_Post_18",272,"DorsAttnA",153.8,114,78.6,61,144,114
"17Networks_RH_DorsAttnB_PostC_7",289,"RH_DorsAttn_Post_19","DorsAttn","7Networks_RH_DorsAttn_Post_19",280,"DorsAttnB",165,134,83.2,66,160,134
"17Networks_RH_DorsAttnB_FEF_1",290,"RH_DorsAttn_FEF_1","DorsAttn","7Networks_RH_DorsAttn_FEF_1",282,"DorsAttnB",180.5,159,90.5,78.5,164,159
"17Networks_RH_DorsAttnB_FEF_2",291,"RH_DorsAttn_FEF_2","DorsAttn","7Networks_RH_DorsAttn_FEF_2",283,"DorsAttnB",208.4,201.5,104.9,103,166,201
"17Networks_RH_DorsAttnB_FEF_3",292,"RH_DorsAttn_FEF_3","DorsAttn","7Networks_RH_DorsAttn_FEF_3",284,"DorsAttnB",177.4,157,88.6,74,168,157
